id,name,severity,mitre_technique,mitre_name,tactic,operator,field,pattern,description
R-INSTALLUTIL-ProxyExec,InstallUtil Proxy Execution,medium,T1218.004,System Binary Proxy Execution: InstallUtil,Defense Evasion,contains,command_line,installutil.exe|installutil /logfile=|installutil /u,InstallUtil을 이용한 서명 바이너리 프록시 실행 의심
R-LAZAGNE-CredDump,LaZagne Credential Dumping Tool,high,T1555,Credentials from Password Stores,Credential Access,contains,command_line,lazagne|all passwords|browsers -firefox|browsers -chrome,LaZagne 등 자격증명 수집 도구 실행 의심
R-LSASS-Dump,LSASS Dump Attempt,high,T1003.001,OS Credential Dumping: LSASS Memory,Credential Access,contains,command_line,"lsass.exe|comsvcs.dll, MiniDump|sekurlsa::logonpasswords|procdump -ma lsass",LSASS 메모리 덤프 또는 자격증명 탈취 도구 실행 의심 행위
R-MEGA-Exfil,MEGA CLI Exfiltration Tool,high,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,Exfiltration,contains,command_line,megacmd|mega-put|mega-login|mega-sync,MEGA CLI를 이용한 외부 업로드 가능성
R-MSBUILD-InlineTask,MSBuild Inline Task Execution,medium,T1127.001,Trusted Developer Utilities Proxy Execution: MSBuild,Defense Evasion,contains,command_line,msbuild.exe|/target:|/property:configuration=,MSBuild 프로젝트/인라인 태스크 실행 의심
R-MSHTA-Remote,MSHTA Remote Load,medium,T1218.005,System Binary Proxy Execution: Mshta,Defense Evasion,contains,command_line,mshta http,mshta 로 원격 리소스 로드 시도
R-NET-View-Share,Network Share Discovery,low,T1135,Network Share Discovery,Discovery,contains,command_line,net view|net view /domain|net share|net use,net view/share 기반 네트워크 공유 탐색
R-NETSH-Firewall-Modify,Firewall Rule Modification,medium,T1562.004,Impair Defenses: Disable or Modify System Firewall,Defense Evasion,contains,command_line,netsh advfirewall firewall add rule|netsh firewall add portopening|set rule group=,netsh를 이용한 방화벽 규칙 추가/변경 정황
R-NLTEST-DomainTrust,Domain Trust Discovery,low,T1482,Domain Trust Discovery,Discovery,contains,command_line,nltest /domain_trusts|nltest /dclist|nltest /dsgetdc,nltest를 이용한 도메인 신뢰 관계 탐색
R-NSLOOKUP-Discovery,DNS Lookup Discovery,low,T1018,Remote System Discovery,Discovery,contains,command_line,nslookup -type=|nslookup _ldap|nslookup _kerberos|nslookup ,nslookup을 이용한 내부/외부 도메인 탐색 정황
R-NTDSUTIL-Dump,NTDS.dit Dump Attempt,critical,T1003.003,OS Credential Dumping: NTDS,Credential Access,contains,command_line,ntdsutil|ifm|create full|ntds.dit,ntdsutil/vssadmin 기반 도메인 자격증명 덤프 정황
R-PROCESS-Discovery,Process Discovery,low,T1057,Process Discovery,Discovery,contains,command_line,tasklist /v|tasklist /svc|get-process|wmic process list,실행 중인 프로세스/서비스 조회 정황
R-PS-Bypass,PowerShell Bypass/Hidden Flags,medium,T1059.001,Command and Scripting Interpreter: PowerShell,Execution,contains,command_line,-noprofile|-nop|-windowstyle hidden|-executionpolicy bypass,PowerShell의 숨김/바이패스 플래그 사용 흔적
R-PS-DownloadString,PowerShell DownloadString Execution,high,T1059.001,Command and Scripting Interpreter: PowerShell,Execution,contains,command_line,downloadstring(|.downloadstring(|invoke-expression|iex (new-object,PowerShell DownloadString 기반 원격 스크립트 로드 의심
R-PS-FromBase64String,PowerShell Base64 Decode,medium,T1140,Deobfuscate/Decode Files or Information,Defense Evasion,contains,command_line,frombase64string|text.encoding]::unicode.getstring|text.encoding]::utf8.getstring,PowerShell에서 Base64 디코딩 후 실행 또는 로드하는 행위
R-PS-InvokeExpression,PowerShell Invoke-Expression,medium,T1059.001,Command and Scripting Interpreter: PowerShell,Execution,contains,command_line,invoke-expression|iex ,PowerShell IEX/Invoke-Expression 사용 정황
R-PS-New-Service,PowerShell New-Service Persistence,medium,T1543.003,Create or Modify System Process: Windows Service,Persistence,contains,command_line,new-service|set-service|start-service,PowerShell New-Service 기반 서비스 생성 정황
R-PSEXEC-RemoteService,PsExec Remote Service Pattern,high,T1569.002,System Services: Service Execution,Execution,contains,command_line,psexec|paexec|\admin$|psexesvc,PsExec/PAExec류 원격 서비스 실행 정황
R-RANSOM-Delete-Shadows,Ransomware Shadow Copy Removal Variant,critical,T1490,Inhibit System Recovery,Impact,contains,command_line,delete shadows /all /quiet|resize shadowstorage|shadowcopy delete|delete catalog -quiet,랜섬웨어에서 자주 보이는 복구 방해 명령 변형
R-RCLONE-Exfil,Rclone Cloud Exfiltration Tool,high,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,Exfiltration,contains,command_line,rclone copy|rclone sync|rclone.exe copy|rclone.exe sync,rclone을 이용한 외부 클라우드 전송 가능성
R-RDP-Enable,RDP Enablement,medium,T1021.001,Remote Services: Remote Desktop Protocol,Lateral Movement,contains,command_line,"fdenytsconnections /d 0|remote desktop|netsh advfirewall firewall set rule group=""remote desktop"" new enable=yes",원격 데스크톱 활성화 또는 방화벽 규칙 변경 정황
R-RECOVERY-Disable,Recovery Inhibition,high,T1490,Inhibit System Recovery,Impact,contains,command_line,vssadmin delete shadows|wmic shadowcopy delete|bcdedit /set recoveryenabled no|wbadmin delete catalog,복구 기능 비활성화 또는 섀도 복사본 삭제 정황
R-REG-RunKey,Registry Run Key Modification,low,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys/Startup Folder,Persistence,contains,command_line,reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Run 키 기반 지속성 추가 정황 (일반 문자열)
R-REGSVR32-Scriptlet,Regsvr32 Scriptlet Execution,high,T1218.010,System Binary Proxy Execution: Regsvr32,Defense Evasion,contains,command_line,regsvr32 /s /n /u /i:http|regsvr32.exe /s /n /u /i:http|scrobj.dll,regsvr32를 이용한 스크립틀릿 실행 의심
R-RUNDLL32-Remote,Rundll32 Remote Scriptlet,high,T1218.011,System Binary Proxy Execution: Rundll32,Defense Evasion,contains,command_line,"rundll32 javascript:|rundll32.exe javascript:|rundll32 url.dll,FileProtocolHandler http",rundll32와 스크립트 핸들러를 이용한 원격 실행 의심 행위
R-SAM-SYSTEM-Save,SAM SYSTEM Hive Save,high,T1003.002,OS Credential Dumping: Security Account Manager,Credential Access,contains,command_line,reg save hklm\sam|reg save hklm\system|reg save hklm\security,reg save를 이용한 SAM/SYSTEM/SECURITY 하이브 저장 정황
R-SC-Service-Create,Windows Service Creation,medium,T1543.003,Create or Modify System Process: Windows Service,Persistence,contains,command_line,sc create|sc.exe create|sc config|sc.exe config,sc.exe를 이용한 서비스 생성/수정 정황
R-SCHTASKS-Create,Scheduled Task Creation,low,T1053.005,Scheduled Task/Job: Scheduled Task,Persistence,contains,command_line,schtasks /create,schtasks를 이용한 작업 생성
R-SCREENSHOT-Capture,Screen Capture,medium,T1113,Screen Capture,Collection,contains,command_line,copyfromscreen|graphics.copyfromscreen|screenshot|bitblt,스크린샷/화면 캡처 관련 스크립트 실행 정황
R-SECURITY-SOFTWARE-Discovery,Security Software Discovery,medium,T1518.001,Software Discovery: Security Software Discovery,Discovery,contains,command_line,wmic /namespace:\\root\securitycenter2|antivirusproduct|get-mppreference|get-ciminstance -namespace root/securitycenter2,백신/보안제품/EDR 존재 여부 탐색 정황
R-WDIGEST-Enable,WDigest Credential Exposure,high,T1003.001,OS Credential Dumping: LSASS Memory,Credential Access,contains,command_line,wdigest|uselogoncredential|securityproviders\wdigest,WDigest UseLogonCredential 활성화로 평문 자격증명 노출 가능성
R-WINRM-RemoteCommand,WinRM Remote Command,medium,T1021.006,Remote Services: Windows Remote Management,Lateral Movement,contains,command_line,enter-pssession|invoke-command|winrs -r:|winrm invoke,WinRM/PowerShell Remoting 기반 원격 명령 실행 정황
R-WMI-Create,WMI Process Creation,low,T1047,Windows Management Instrumentation,Execution,contains,command_line,wmic process call create,wmic 를 이용한 프로세스 생성 호출
sigma-enc-generic,EncodedCommand Generic (Safe),medium,T1059.001,Command and Scripting Interpreter: PowerShell,Execution,contains,command_line,\-encodedcommand|\ \-enc\ ,Auto-converted from Sigma-like selection contains
